vars,coeff,se
% High School Graduation,1.5951778661784866,0.0810323350653296
% Fair or Poor Health,0.780364711161322,0.16833602266435743
Number of Cases,0.24401353506151896,0.46399847752768153
% Child Poverty,-0.5139256670369782,0.0923678469528635
Intercept,-1.875476426520635,0.05475440747677379
